,geometry
0,"POLYGON ((77.26041762837846 28.62285881434183, 77.2570534896761 28.62268218309498, 77.24232153693728 28.63195906526756, 77.23747367966969 28.632203907383, 77.23218029620305 28.63572728172629, 77.22051221703757 28.64111146169475, 77.20081328729053 28.63912417987652, 77.19679131570203 28.6357672251762, 77.19053546541384 28.63237085913742, 77.18769790323489 28.62607665667116, 77.18672109754354 28.62564158606377, 77.1869135247339 28.62598980630063, 77.1808237901369 28.63172497961449, 77.18078404922674 28.63347704216728, 77.1832730612245 28.64053197450864, 77.1838027201986 28.64638376095984, 77.18253498624527 28.648165882038, 77.18825011058603 28.65106301140914, 77.18707340841044 28.65367135111938, 77.18587935983152 28.6578524831177, 77.18692467828386 28.66024133829116, 77.19589272274652 28.65908452539613, 77.2000338627608 28.65718540257084, 77.20597049408035 28.65827525523007, 77.21509282664687 28.65021881947062, 77.22143838956494 28.64967208374778, 77.22557882554381 28.6477722702725, 77.23153718601878 28.64787567262474, 77.23408547963059 28.65054888503472, 77.24041638598668 28.65065840497563, 77.24262166978295 28.65201101910159, 77.25298570132522 28.65374246283207, 77.25773560940556 28.64241228775445, 77.25789507110872 28.63518502257087, 77.25723009410099 28.63155856870761, 77.25888613025118 28.62402823478292, 77.26041762837846 28.62285881434183))"
1,"POLYGON ((77.30482387610402 28.57678210647347, 77.2959311768473 28.58193500695501, 77.28989000023483 28.58577650022281, 77.28350493535908 28.58829725110526, 77.27671140451703 28.59245407282594, 77.27585896762966 28.59736940419999, 77.27132709329243 28.60024990774147, 77.26558427937606 28.60738203269833, 77.26454643479013 28.6074658356709, 77.26445298644026 28.60801995593794, 77.2624469019723 28.61455858000736, 77.26273239551338 28.61850724980982, 77.2626745216169 28.62113542730926, 77.26041762837846 28.62285881434183, 77.25888613025118 28.62402823478292, 77.25723009410099 28.63155856870761, 77.25789507110872 28.63518502257087, 77.25773560940556 28.64241228775445, 77.25298570132522 28.65374246283207, 77.25144328504791 28.65742113928905, 77.25066034407288 28.66244443701203, 77.25057486570066 28.66299282882447, 77.26212065190268 28.66319115745445, 77.2853838279338 28.67278958476652, 77.30437298727388 28.67343977655287, 77.3118936312666 28.67028034270415, 77.31778931760968 28.67333699935788, 77.32807361937029 28.67385857690648, 77.32800389493826 28.67239167204768, 77.32772533394477 28.66653190278009, 77.32770785324212 28.66616404895537, 77.325557835788 28.65780296544537, 77.32554397539066 28.65638446899026, 77.32553763151414 28.65573309605742, 77.32544205436459 28.64590703047764, 77.32318501604315 28.64120883904971, 77.3213046867176 28.6391865225465, 77.32367042123747 28.63774460047442, 77.323997068761 28.63742691133267, 77.3260345355317 28.63544491548876, 77.33105474972714 28.63056099262695, 77.33632519075763 28.62799354561493, 77.34055944724112 28.62593061720227, 77.34431417293108 28.62150692359716, 77.34716790087138 28.61641214535777, 77.34762311727521 28.61201139365037, 77.34625279456911 28.6033921510117, 77.34320094917466 28.6012266282636, 77.33789379673176 28.59939961184384, 77.32697189349869 28.59448299051775, 77.32337195280223 28.59397295082713, 77.31995806102422 28.59348917756672, 77.31716425390505 28.59144213712897, 77.31556413106117 28.58955191184122, 77.31515956021418 28.58907404213834, 77.30491000912598 28.57696419862599, 77.30482387610402 28.57678210647347))"
2,"POLYGON ((77.25066034407288 28.66244443701203, 77.25020969226227 28.66265791882482, 77.24683586975961 28.66358567174987, 77.24222799734434 28.66975001079348, 77.24341251999554 28.70033146580852, 77.24447917784832 28.70265009481002, 77.24602265333228 28.73389326397428, 77.23118146170344 28.74743739169825, 77.22309772136421 28.75879739709912, 77.21535579355431 28.77147703758848, 77.21487985128843 28.77606868989049, 77.21329286214149 28.78031238435557, 77.21434400390839 28.7835189924518, 77.2186797593756 28.78184523258374, 77.2233009667238 28.78109549454685, 77.22426421506802 28.78131381191704, 77.22642010451952 28.78180234581086, 77.22851677648046 28.78227742689516, 77.23046519040589 28.78227639466618, 77.2338181975754 28.78227446943525, 77.23493032368563 28.78227379234376, 77.2323205733389 28.77838098656197, 77.2273273412673 28.7763316490216, 77.23113894140936 28.77254533991291, 77.23700717110162 28.76859257444103, 77.2392638482639 28.76707241371082, 77.2453830610995 28.75802298651334, 77.24820531120781 28.75384868265035, 77.24869642913499 28.75373142417651, 77.25608762170775 28.75196617909269, 77.25868312652483 28.75215287317813, 77.26341465224546 28.74740002465139, 77.26207910610313 28.74011250309227, 77.26637280166048 28.73454010236981, 77.27012818633878 28.7327239392887, 77.27657100341791 28.7338795378577, 77.28133040053568 28.73278186646293, 77.28706457692951 28.72898544461337, 77.29089325926482 28.72461991045587, 77.29104691592772 28.72436822714439, 77.29462447352118 28.71850977850799, 77.2938530820123 28.71355706019819, 77.29509038307268 28.7070330410502, 77.30312431192496 28.70434348419933, 77.30581072337357 28.70760858582894, 77.31166707844272 28.71129384143181, 77.31643073365667 28.71223161650138, 77.32737700698904 28.71176377428114, 77.33370385341296 28.71041555057635, 77.3318683847603 28.70637169176919, 77.33003330949782 28.69819532955926, 77.33111759751431 28.69421847730615, 77.33775169207539 28.68638048190534, 77.33729417289436 28.67969463083855, 77.33578362518006 28.67739137586824, 77.3355514988024 28.67703738414096, 77.32807488393293 28.67388518509429, 77.32807361937029 28.67385857690648, 77.31778931760968 28.67333699935788, 77.3118936312666 28.67028034270415, 77.30437298727388 28.67343977655287, 77.2853838279338 28.67278958476652, 77.26212065190268 28.66319115745445, 77.25057486570066 28.66299282882447, 77.25066034407288 28.66244443701203))"
3,"POLYGON ((77.21434400390839 28.7835189924518, 77.21329286214149 28.78031238435557, 77.21487985128843 28.77606868989049, 77.21535579355431 28.77147703758848, 77.22309772136421 28.75879739709912, 77.23118146170344 28.74743739169825, 77.24602265333228 28.73389326397428, 77.24447917784832 28.70265009481002, 77.24341251999554 28.70033146580852, 77.24222799734434 28.66975001079348, 77.24683586975961 28.66358567174987, 77.25020969226227 28.66265791882482, 77.25066034407288 28.66244443701203, 77.25144328504791 28.65742113928905, 77.25298570132522 28.65374246283207, 77.24262166978295 28.65201101910159, 77.24041638598668 28.65065840497563, 77.23408547963059 28.65054888503472, 77.23153718601878 28.64787567262474, 77.22557882554381 28.6477722702725, 77.22143838956494 28.64967208374778, 77.21509282664687 28.65021881947062, 77.20597049408035 28.65827525523007, 77.2000338627608 28.65718540257084, 77.19589272274652 28.65908452539613, 77.18692467828386 28.66024133829116, 77.18587935983152 28.6578524831177, 77.18585945839695 28.65792216817264, 77.1728395378547 28.6570349666254, 77.1713049819198 28.6589795782591, 77.16749833427963 28.66252703563137, 77.1707231236967 28.66817084512805, 77.17093248218636 28.66832712918669, 77.17658537390307 28.67254668424208, 77.17822389930089 28.68243423663189, 77.18253743859437 28.68941129301767, 77.18702255490435 28.6888330993723, 77.19223781428305 28.68892484110017, 77.20158779542648 28.68744582427948, 77.20417322161028 28.68847693092339, 77.21409862247482 28.69456531330433, 77.21810825179988 28.69857847523946, 77.22091961194297 28.70618531164234, 77.21998330957008 28.714712642831, 77.21435014407876 28.71658613467116, 77.19487839669411 28.72051729377245, 77.18621154080839 28.72463667759383, 77.17674656039618 28.73104162444254, 77.169501608256 28.73814246765477, 77.16646781779254 28.74038883023389, 77.1660276730899 28.74333830651402, 77.16593770443069 28.74727972806446, 77.17985383890704 28.75836898560865, 77.1826343907918 28.76728952587873, 77.18934395840327 28.76740761736764, 77.21052226373159 28.78651978038676, 77.21291649218315 28.7840700270142, 77.21434400390839 28.7835189924518))"
4,"POLYGON ((77.17093248218636 28.66832712918669, 77.16688621562822 28.67303219864789, 77.15494463574184 28.67380582385323, 77.15265710952606 28.67606542269662, 77.11951433096171 28.67514259733647, 77.11127409469479 28.6769655369452, 77.09835666915326 28.68757592331992, 77.08622567052159 28.68045408950464, 77.07976212183954 28.68592263359931, 77.07606028052531 28.68486906054552, 77.07152833138088 28.68741501343709, 77.06379884566898 28.68332968327429, 77.05812585789914 28.68684015288285, 77.04471569412145 28.68659264485968, 77.02600405221746 28.68986024497995, 77.01090496012885 28.68234873796309, 76.99863664689393 28.68113283148267, 76.97816297394201 28.69553493672333, 76.96372126982114 28.69480579748066, 76.96409474481646 28.69537195372279, 76.96450443108594 28.70021430207724, 76.9608590847245 28.70461254284807, 76.9511724371652 28.71189067925834, 76.96060604612987 28.73132066283341, 76.95915313241429 28.73635658789343, 76.96026542078114 28.74151467934307, 76.95739734797949 28.74599614812088, 76.94816892259669 28.75450244422926, 76.95658061508905 28.7689080628205, 76.95397161658781 28.77340800455015, 76.95234457925335 28.78264123627383, 76.95311925089919 28.78999847227121, 76.94750610430553 28.79838957173434, 76.94740075351014 28.80404676153032, 76.95237135087149 28.81557451780685, 76.95828556327555 28.81255028052861, 76.96584862691063 28.81490894886266, 76.96810662971122 28.82521964212668, 76.97093040117177 28.82655719312726, 76.98065730358687 28.81997686114232, 76.9837952124208 28.8207101367692, 76.98967913275564 28.83157487210876, 76.99363678918797 28.83395594194969, 76.99986666974684 28.83402250878833, 77.01676989532704 28.83011042807263, 77.02895282475581 28.83189173235403, 77.0348385350697 28.83110210017568, 77.04170609206948 28.83160986196773, 77.04786158554664 28.84759933243861, 77.05999318424534 28.86800385153041, 77.07591544442103 28.86780488415907, 77.08041327970415 28.87479729478097, 77.0861236211929 28.87932170553728, 77.0936136972754 28.86939745694931, 77.10973064204086 28.86721775214927, 77.11741355606702 28.86322476825236, 77.11997601034905 28.86089104197693, 77.13883755570389 28.86013342522956, 77.14536199101484 28.85322947686631, 77.14586011244924 28.8474284358327, 77.14406717911004 28.83944953660806, 77.14946011330588 28.83639990801503, 77.15264742713133 28.83719501929989, 77.16092954944801 28.84317053769546, 77.16990445479617 28.85214760048179, 77.17490730047335 28.85535417182215, 77.19398918870692 28.85700131619716, 77.19721033144612 28.86151945649975, 77.20383582344276 28.86003963138319, 77.20999957954142 28.85962904794304, 77.21515278829848 28.85759113249801, 77.21818736263195 28.85490179099469, 77.22180895061327 28.84960424534348, 77.22093899702955 28.83996404332024, 77.22763916539562 28.82995056625787, 77.22392665643166 28.80816342238251, 77.20488239307566 28.81002381812913, 77.20468972213968 28.79695983298578, 77.207169612488 28.789949943276, 77.21052226373159 28.78651978038676, 77.18934395840327 28.76740761736764, 77.1826343907918 28.76728952587873, 77.17985383890704 28.75836898560865, 77.16593770443069 28.74727972806446, 77.1660276730899 28.74333830651402, 77.16646781779254 28.74038883023389, 77.169501608256 28.73814246765477, 77.17674656039618 28.73104162444254, 77.18621154080839 28.72463667759383, 77.19487839669411 28.72051729377245, 77.21435014407876 28.71658613467116, 77.21998330957008 28.714712642831, 77.22091961194297 28.70618531164234, 77.21810825179988 28.69857847523946, 77.21409862247482 28.69456531330433, 77.20417322161028 28.68847693092339, 77.20158779542648 28.68744582427948, 77.19223781428305 28.68892484110017, 77.18702255490435 28.6888330993723, 77.18253743859437 28.68941129301767, 77.17822389930089 28.68243423663189, 77.17658537390307 28.67254668424208, 77.17093248218636 28.66832712918669))"
5,"POLYGON ((77.26041762837846 28.62285881434183, 77.2626745216169 28.62113542730926, 77.26273239551338 28.61850724980982, 77.2624469019723 28.61455858000736, 77.26445298644026 28.60801995593794, 77.26454643479013 28.6074658356709, 77.25886878842137 28.60792416792815, 77.24662724083855 28.605741577592, 77.22980288490042 28.59197550166693, 77.22571568446349 28.59157585057353, 77.21290125661487 28.58182130009345, 77.21301170608574 28.57689318713244, 77.2013852873462 28.58063376994359, 77.19465613920767 28.58183030452986, 77.18266394184703 28.58523441503146, 77.17700624592126 28.58842111544232, 77.17354427573797 28.59328982517965, 77.17233045373501 28.5975409450415, 77.17228562278223 28.59951211907177, 77.18672109754354 28.62564158606377, 77.18769790323489 28.62607665667116, 77.19053546541384 28.63237085913742, 77.19679131570203 28.6357672251762, 77.20081328729053 28.63912417987652, 77.22051221703757 28.64111146169475, 77.23218029620305 28.63572728172629, 77.23747367966969 28.632203907383, 77.24232153693728 28.63195906526756, 77.2570534896761 28.62268218309498, 77.26041762837846 28.62285881434183))"
6,"POLYGON ((77.26454643479013 28.6074658356709, 77.26558427937606 28.60738203269833, 77.27132709329243 28.60024990774147, 77.27585896762966 28.59736940419999, 77.27671140451703 28.59245407282594, 77.28350493535908 28.58829725110526, 77.28989000023483 28.58577650022281, 77.2959311768473 28.58193500695501, 77.30482387610402 28.57678210647347, 77.30363037479074 28.57425890022988, 77.30375620751364 28.56126443830518, 77.3051413673883 28.55573222791385, 77.31300984258708 28.5449691863152, 77.31438979060256 28.54374539175398, 77.32063479974838 28.53820665950163, 77.32483339884692 28.53600158105828, 77.33144856523451 28.53036387354226, 77.33649680441096 28.52375916608391, 77.3404435650323 28.51859485251461, 77.34292260123115 28.51615678594572, 77.34389780963718 28.51519772004282, 77.34415045531287 28.51475283408992, 77.3467555736686 28.51016644354107, 77.34765178578583 28.50345539386918, 77.34437051094167 28.50558465418073, 77.33889524476847 28.50282321673253, 77.33657377596872 28.49795786780577, 77.33159199450778 28.49388298927724, 77.32474908115456 28.48906551600393, 77.31672824601804 28.48519144121154, 77.31080442189256 28.48463283602951, 77.30612106397625 28.48566866254591, 77.29564126151455 28.49079521626932, 77.28790080744703 28.49267790682207, 77.28096052855314 28.49156411231694, 77.26991008923501 28.48297439297787, 77.26378569834469 28.48009357731464, 77.25244400621256 28.47915064567805, 77.24652091948481 28.47424001918307, 77.24218273391853 28.47035216349048, 77.23738377479989 28.46430887409375, 77.23549659680403 28.45856822564237, 77.23617955892141 28.45481761333546, 77.24285892495196 28.45400642953283, 77.24961574516955 28.44815818475137, 77.2530268026152 28.44203633822987, 77.25403011720421 28.43620789965518, 77.25291103475394 28.42822289604296, 77.25034156499044 28.42340186441194, 77.23243251187648 28.41351989928214, 77.22497561624277 28.41030202510738, 77.21556351810086 28.40796274478341, 77.20487044226623 28.40710099160931, 77.18913212642883 28.40695720265145, 77.17537869657031 28.40305213524525, 77.16397705230139 28.41590004731133, 77.16150205530781 28.42292256332066, 77.15205411077763 28.43032986305661, 77.14103210162064 28.43332620536741, 77.13370781022178 28.43386457938353, 77.12793400653317 28.43706444830742, 77.12215454261144 28.44487547549512, 77.11839445906919 28.45199779082555, 77.11570174637525 28.46054327066356, 77.11240519680932 28.46510414626018, 77.11120075281561 28.47113442310915, 77.1130200358822 28.47777458314976, 77.11505260605611 28.48278777506517, 77.11540915172232 28.48279422591364, 77.12098762290671 28.48289505121845, 77.12727198157032 28.4846520108816, 77.13466468241076 28.48675735627512, 77.1431356736347 28.49052526204684, 77.15298216605242 28.49924796556872, 77.16877417582165 28.50840428558761, 77.17861642935564 28.51745373669868, 77.18112369550659 28.52177118547665, 77.18107903114007 28.52374259582677, 77.18061766263669 28.52767882137714, 77.18718802484443 28.53338263973693, 77.19081952578581 28.53739094612136, 77.19075275075718 28.54034799093868, 77.18992696411823 28.5439490318078, 77.19020257100431 28.54822682334392, 77.19599319623299 28.55555975068921, 77.19921650432515 28.56120393621244, 77.21396952884554 28.56737839365591, 77.21379287978233 28.57526347233192, 77.21301170608574 28.57689318713244, 77.21290125661487 28.58182130009345, 77.22571568446349 28.59157585057353, 77.22980288490042 28.59197550166693, 77.24662724083855 28.605741577592, 77.25886878842137 28.60792416792815, 77.26454643479013 28.6074658356709))"
7,"POLYGON ((77.18253498624527 28.648165882038, 77.1838027201986 28.64638376095984, 77.1832730612245 28.64053197450864, 77.18078404922674 28.63347704216728, 77.1808237901369 28.63172497961449, 77.1869135247339 28.62598980630063, 77.18672109754354 28.62564158606377, 77.17228562278223 28.59951211907177, 77.17233045373501 28.5975409450415, 77.17354427573797 28.59328982517965, 77.17700624592126 28.58842111544232, 77.18266394184703 28.58523441503146, 77.19465613920767 28.58183030452986, 77.2013852873462 28.58063376994359, 77.21301170608574 28.57689318713244, 77.21379287978233 28.57526347233192, 77.21396952884554 28.56737839365591, 77.19921650432515 28.56120393621244, 77.19599319623299 28.55555975068921, 77.19020257100431 28.54822682334392, 77.18992696411823 28.5439490318078, 77.19075275075718 28.54034799093868, 77.19081952578581 28.53739094612136, 77.18718802484443 28.53338263973693, 77.18061766263669 28.52767882137714, 77.18107903114007 28.52374259582677, 77.18112369550659 28.52177118547665, 77.17861642935564 28.51745373669868, 77.16877417582165 28.50840428558761, 77.15298216605242 28.49924796556872, 77.1431356736347 28.49052526204684, 77.13466468241076 28.48675735627512, 77.12727198157032 28.4846520108816, 77.12098762290671 28.48289505121845, 77.11540915172232 28.48279422591364, 77.11505260605611 28.48278777506517, 77.11737741977366 28.48852119193533, 77.11321439219618 28.49212104394551, 77.10002289768582 28.50012209385592, 77.09568418742538 28.50553515714979, 77.08218639784023 28.51496972942251, 77.07717268518716 28.51533673905395, 77.06664152553824 28.50856863575967, 77.05844843242112 28.50995015656473, 77.0513371066247 28.51367748625923, 77.04283624252213 28.52306789081802, 77.02931240272851 28.52801024235984, 77.02533919539864 28.52806932669911, 77.01578176421805 28.53752096709655, 77.0098872844861 28.53676368988226, 77.00562253774439 28.53165525782659, 77.00787223541388 28.52689841227009, 77.01466123810748 28.52348360827443, 77.02105034555119 28.5188544243696, 77.02058822779065 28.51277109339469, 77.01519124948031 28.50918779097344, 76.9999072575318 28.51453985486166, 76.98617060137151 28.51857996939044, 76.97809693899958 28.52235466809417, 76.9542157538593 28.50842957364496, 76.94279847995226 28.51084937097648, 76.93223080421859 28.51408299365603, 76.91802423683191 28.50973937559654, 76.90700264854304 28.51260929400555, 76.90326649034155 28.51098596724759, 76.89633714122468 28.50607949378259, 76.888890648998 28.5039064241605, 76.88332862462205 28.50925326441154, 76.88899488687875 28.51885231626565, 76.88586106805107 28.52326006274611, 76.86877345556685 28.53680458899201, 76.86630758723604 28.5427022846593, 76.84717142496928 28.55189587437348, 76.84251435748224 28.5774225974196, 76.84464047343846 28.58631901662155, 76.85985870672491 28.58502263808267, 76.86444686291388 28.58724614495722, 76.87055846965707 28.59740851641964, 76.88765759795864 28.63252524043088, 76.90341270731547 28.62762487083816, 76.9070096334832 28.62767166447901, 76.91375069989202 28.63280689778049, 76.92009986070609 28.63269096993775, 76.93340651611648 28.62350167103948, 76.93572361453052 28.624101213998, 76.94367249234084 28.63249250102563, 76.92798055656309 28.6481321527278, 76.92727591837325 28.65212784481932, 76.93291729164164 28.66408033117424, 76.93955322250906 28.6692763590153, 76.95208088103936 28.66994118342662, 76.95218979262903 28.66550143084661, 76.95757245319794 28.66209858093247, 76.96282635245325 28.66395131121984, 76.96882799827512 28.6623125897156, 76.97891558191975 28.65607699529638, 76.9882835117305 28.65216416814292, 76.99700294365333 28.64765432935981, 77.00384839991364 28.63843474459875, 77.00793269072597 28.63383719694087, 77.01200263976897 28.62982352094595, 77.0199597319115 28.62938795954032, 77.02531101835429 28.62715065833255, 77.02867641685988 28.62487622796943, 77.03408309394369 28.62030254388163, 77.03685589144321 28.61509550406945, 77.03823524531954 28.6127839633253, 77.0547811664191 28.61309007368009, 77.06064105189182 28.61728804074932, 77.07585016027225 28.61815161313727, 77.08577818716554 28.61833314478669, 77.09173501657713 28.61844176743898, 77.10776942126576 28.61230600556067, 77.11303701494955 28.61356990788699, 77.12016850862761 28.62012573017737, 77.13047551684957 28.63258087198111, 77.13837858241745 28.6344754754143, 77.14425571749062 28.63808622003037, 77.15207904675697 28.64348418505154, 77.16396858742254 28.64486426969945, 77.17253497260167 28.64676890236546, 77.18175041653966 28.64926875852283, 77.18253498624527 28.648165882038))"
8,"POLYGON ((77.17093248218636 28.66832712918669, 77.1707231236967 28.66817084512805, 77.16749833427963 28.66252703563137, 77.1713049819198 28.6589795782591, 77.1728395378547 28.6570349666254, 77.18585945839695 28.65792216817264, 77.18587935983152 28.6578524831177, 77.18707340841044 28.65367135111938, 77.18825011058603 28.65106301140914, 77.18253498624527 28.648165882038, 77.18175041653966 28.64926875852283, 77.17253497260167 28.64676890236546, 77.16396858742254 28.64486426969945, 77.15207904675697 28.64348418505154, 77.14425571749062 28.63808622003037, 77.13837858241745 28.6344754754143, 77.13047551684957 28.63258087198111, 77.12016850862761 28.62012573017737, 77.11303701494955 28.61356990788699, 77.10776942126576 28.61230600556067, 77.09173501657713 28.61844176743898, 77.08577818716554 28.61833314478669, 77.07585016027225 28.61815161313727, 77.06064105189182 28.61728804074932, 77.0547811664191 28.61309007368009, 77.03823524531954 28.6127839633253, 77.03685589144321 28.61509550406945, 77.03408309394369 28.62030254388163, 77.02867641685988 28.62487622796943, 77.02531101835429 28.62715065833255, 77.0199597319115 28.62938795954032, 77.01200263976897 28.62982352094595, 77.00793269072597 28.63383719694087, 77.00384839991364 28.63843474459875, 76.99700294365333 28.64765432935981, 76.9882835117305 28.65216416814292, 76.97891558191975 28.65607699529638, 76.96882799827512 28.6623125897156, 76.96282635245325 28.66395131121984, 76.95757245319794 28.66209858093247, 76.95218979262903 28.66550143084661, 76.95208088103936 28.66994118342662, 76.95238879168892 28.66995751154306, 76.95710295606034 28.67200604992922, 76.95579604403122 28.67832501698895, 76.95824478865269 28.68283476989614, 76.95987859921074 28.68898025956203, 76.96372126982114 28.69480579748066, 76.97816297394201 28.69553493672333, 76.99863664689393 28.68113283148267, 77.01090496012885 28.68234873796309, 77.02600405221746 28.68986024497995, 77.04471569412145 28.68659264485968, 77.05812585789914 28.68684015288285, 77.06379884566898 28.68332968327429, 77.07152833138088 28.68741501343709, 77.07606028052531 28.68486906054552, 77.07976212183954 28.68592263359931, 77.08622567052159 28.68045408950464, 77.09835666915326 28.68757592331992, 77.11127409469479 28.6769655369452, 77.11951433096171 28.67514259733647, 77.15265710952606 28.67606542269662, 77.15494463574184 28.67380582385323, 77.16688621562822 28.67303219864789, 77.17093248218636 28.66832712918669))"
