,latitude,longitude,Address,geometry,left_max_latitude,left_max_longitude,right_min_latitude,right_max_longitude
0,28.635284624,77.208159217,"The Raymond Shop, Rajiv Chowk, Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.63318943097652 77.06803455564209),28.635316213763804,77.20829718005908,77.20821541716485,28.635228217903578
1,28.633281978000003,77.20923722100001,"Nagar Palika Coeducational Day Boarding Middle School, Hanuman Road, Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.77247205130779 76.93890746811567),28.633313565554538,77.20937518598538,77.20929342194954,28.633225575848414
2,28.631474238000003,77.209889959,"Lady Harding Medical College and Hospital (LHMC), Panchkuian Road, Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.81515437104942 77.1850354304507),28.631505823560282,77.21002792515173,77.20994616042465,28.63141783940932
3,28.629172803000003,77.20999820600001,"Karnail Singh Stadium, Basant Lane, Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110055, India",POINT (28.81726200310036 77.09526364268258),28.629204386021392,77.21013617234517,77.21005440750346,28.62911640894271
4,28.619943045,77.21897432600001,"Bangla Sahib Road, Lady Hardinge Medical College and Hospital, DIZ Area, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.8154522568021 77.07057256207932),28.61997461783934,77.21911230838458,77.21903053403722,28.619886669123588
5,28.626280800000004,77.23147176399999,"Union Bank of India, Janpath, Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.59982285349993 76.89525923623383),28.626312379831003,77.2316097687162,77.23152798113415,28.626224411639413
6,28.630508461999998,77.22207486,"DIZ Area, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.73745186375873 76.98538172162245),28.630540046494854,77.22221284792491,77.22213107029411,28.63045206531171
7,28.631191186,77.222433958,"State Entry Road, New Delhi Railway Station, New Delhi, Chanakya Puri Tehsil, Delhi, 8572, India",POINT (28.75877414016262 77.02561895021785),28.63122277124802,77.22257194656657,77.2224901685555,28.631134787966875
8,28.632413508000003,77.222637394,"Aram Bagh, Paharganj, Karol Bagh Tehsil, Central Delhi, Delhi, 110055, India",POINT (28.54184254717353 77.04305279578888),28.63244509459646,77.2227753829301,77.22269360470358,28.632357107559134
9,28.633385484,77.222618669,"Rajiv Chowk, Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.86773667474325 77.09335672889853),28.63341707166872,77.22275665789664,77.22267487968995,28.633329081644526
10,28.634728000000003,77.222329485,"Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.78730294570798 77.0450057938418),28.634759589149752,77.2224674733799,77.22238569547945,28.634671595000025
11,28.635364813000002,77.220673753,"Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.69717613138835 77.04852577404529),28.63539640285227,77.22081173842128,77.22072996227423,28.635308406745622
12,28.637981535,77.219787896,"Tolstoy Marg, Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.75696806058345 77.12597021030778),28.638013127738976,77.21992587983834,77.21984410462942,28.637925123591174
13,28.641717325,77.217786417,"Kalawati Saran Children's Hospital, Bangla Sahib Road, Lady Hardinge Medical College and Hospital, DIZ Area, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.63108556953457 77.10483914436581),28.641748921860206,77.2179243972619,77.21784262417253,28.64166090623237
14,28.64046475,77.208440061,"Connaught Place, New Delhi, Chanakya Puri Tehsil, Delhi, 110001, India",POINT (28.5929311030703 77.09967046305277),28.640496345478397,77.20857802456092,77.20849626136928,28.640408333699707
15,28.635284624,77.208159217,"Aram Bagh, Paharganj, Karol Bagh Tehsil, Central Delhi, Delhi, 110055, India",POINT (28.55391564016995 77.12581273559357),28.635316213763804,77.20829718005908,77.20821541716485,28.635228217903578
